gene_id,chromosome,strand,tss_position,extracted_start,extracted_end,sequence_length
AT1G71780,1,-,26996673,26996673,26997672,1000
AT1G71790,1,+,26996805,26995806,26996805,1000
AT1G71800,1,+,26999374,26998375,26999374,1000
AT1G71810,1,-,27008184,27008184,27009183,1000
AT1G71820,1,+,27009564,27008565,27009564,1000
AT1G71830,1,+,27018158,27017159,27018158,1000
AT1G71840,1,+,27022138,27021139,27022138,1000
AT1G71850,1,-,27026363,27026363,27027362,1000
AT1G71860,1,+,27026677,27025678,27026677,1000
AT1G71865,1,+,27029116,27028117,27029116,1000
AT1G71866,1,-,27031461,27031461,27032460,1000
AT1G71870,1,-,27035182,27035182,27036181,1000
AT1G71880,1,+,27054030,27053031,27054030,1000
AT1G71890,1,+,27058381,27057382,27058381,1000
AT1G71900,1,+,27061461,27060462,27061461,1000
AT1G71910,1,+,27064932,27063933,27064932,1000
AT1G71920,1,+,27066948,27065949,27066948,1000
AT1G71930,1,+,27074702,27073703,27074702,1000
AT1G71940,1,+,27078524,27077525,27078524,1000
AT1G71950,1,-,27081641,27081641,27082640,1000
AT1G71960,1,-,27088248,27088248,27089247,1000
AT1G71970,1,+,27092893,27091894,27092893,1000
AT1G71980,1,+,27097703,27096704,27097703,1000
AT1G71990,1,+,27100210,27099211,27100210,1000
AT1G72000,1,+,27103277,27102278,27103277,1000
AT1G72010,1,+,27107558,27106559,27107558,1000
AT1G72020,1,-,27110593,27110593,27111592,1000
AT1G72030,1,+,27110832,27109833,27110832,1000
AT1G72040,1,-,27114399,27114399,27115398,1000
AT1G72050,1,+,27115016,27114017,27115016,1000
AT1G72060,1,+,27118177,27117178,27118177,1000
AT1G72070,1,-,27119918,27119918,27120917,1000
AT1G72080,1,-,27122783,27122783,27123782,1000
AT1G72090,1,+,27123567,27122568,27123567,1000
AT1G72100,1,+,27127170,27126171,27127170,1000
AT1G72110,1,-,27131469,27131469,27132468,1000
AT1G72120,1,+,27132014,27131015,27132014,1000
AT1G72125,1,+,27134108,27133109,27134108,1000
AT1G72130,1,+,27137102,27136103,27137102,1000
AT1G72140,1,+,27141765,27140766,27141765,1000
AT1G72141,1,-,27145322,27145322,27146321,1000
AT1G72150,1,+,27148261,27147262,27148261,1000
AT1G72160,1,-,27155793,27155793,27156792,1000
AT1G72170,1,+,27156321,27155322,27156321,1000
AT1G72175,1,+,27157875,27156876,27157875,1000
AT1G72180,1,+,27162820,27161821,27162820,1000
AT1G72190,1,-,27169754,27169754,27170753,1000
AT1G72200,1,-,27171410,27171410,27172409,1000
AT1G72210,1,+,27179458,27178459,27179458,1000
AT1G72220,1,-,27185883,27185883,27186882,1000
AT1G72230,1,+,27188036,27187037,27188036,1000
AT1G72240,1,+,27190036,27189037,27190036,1000
AT1G72250,1,+,27192740,27191741,27192740,1000
AT1G72260,1,-,27199468,27199468,27200467,1000
AT1G72270,1,-,27209096,27209096,27210095,1000
AT1G72275,1,-,27211500,27211500,27212499,1000
AT1G72280,1,-,27214688,27214688,27215687,1000
AT1G72290,1,+,27215787,27214788,27215787,1000
AT1G72300,1,-,27221265,27221265,27222264,1000
AT1G72310,1,+,27225665,27224666,27225665,1000
AT1G72320,1,-,27233167,27233167,27234166,1000
AT1G72330,1,+,27233418,27232419,27233418,1000
AT1G72340,1,+,27236797,27235798,27236797,1000
AT1G72350,1,-,27239947,27239947,27240946,1000
AT1G72360,1,+,27241696,27240697,27241696,1000
AT1G72370,1,-,27244931,27244931,27245930,1000
AT1G72390,1,+,27245082,27244083,27245082,1000
AT1G72410,1,-,27257081,27257081,27258080,1000
AT1G72416,1,-,27260521,27260521,27261520,1000
AT1G72420,1,-,27263828,27263828,27264827,1000
AT1G72430,1,-,27265806,27265806,27266805,1000
AT1G72440,1,-,27273935,27273935,27274934,1000
AT1G72450,1,-,27276562,27276562,27277561,1000
AT1G72460,1,+,27279341,27278342,27279341,1000
AT1G72470,1,+,27283628,27282629,27283628,1000
AT1G72480,1,-,27288522,27288522,27289521,1000
AT1G72490,1,-,27291107,27291107,27292106,1000
AT1G72500,1,-,27298715,27298715,27299714,1000
AT1G72510,1,+,27303323,27302324,27303323,1000
AT1G72520,1,+,27308513,27307514,27308513,1000
AT1G72530,1,+,27312954,27311955,27312954,1000
AT1G72540,1,-,27316669,27316669,27317668,1000
AT1G72545,1,+,27315740,27314741,27315740,1000
AT1G72550,1,-,27324112,27324112,27325111,1000
AT1G72560,1,-,27330031,27330031,27331030,1000
AT1G72570,1,+,27331381,27330382,27331381,1000
AT1G72580,1,-,27334771,27334771,27335770,1000
AT1G72590,1,+,27335531,27334532,27335531,1000
AT1G72600,1,+,27338034,27337035,27338034,1000
AT1G72610,1,-,27340044,27340044,27341043,1000
AT1G72620,1,+,27341021,27340022,27341021,1000
AT1G72630,1,+,27344181,27343182,27344181,1000
AT1G72640,1,-,27348256,27348256,27349255,1000
AT1G72645,1,+,27348261,27347262,27348261,1000
AT1G72650,1,+,27349393,27348394,27349393,1000
AT1G72660,1,+,27353765,27352766,27353765,1000
AT1G72670,1,-,27358863,27358863,27359862,1000
AT1G72680,1,-,27361024,27361024,27362023,1000
AT1G72690,1,+,27361146,27360147,27361146,1000
AT1G72700,1,+,27365772,27364773,27365772,1000
AT1G72710,1,+,27372197,27371198,27372197,1000
AT1G72720,1,-,27377473,27377473,27378472,1000
AT1G72730,1,-,27380182,27380182,27381181,1000
AT1G72740,1,-,27382924,27382924,27383923,1000
AT1G72750,1,+,27383320,27382321,27383320,1000
AT1G72755,1,-,27383850,27383850,27384849,1000
AT1G72760,1,-,27388534,27388534,27389533,1000
AT1G72770,1,+,27389948,27388949,27389948,1000
AT1G72790,1,+,27394598,27393599,27394598,1000
AT1G72800,1,+,27397089,27396090,27397089,1000
AT1G72810,1,-,27400474,27400474,27401473,1000
AT1G72820,1,+,27402814,27401815,27402814,1000
AT1G72830,1,-,27408221,27408221,27409220,1000
AT1G72840,1,-,27413851,27413851,27414850,1000
AT1G72850,1,+,27413881,27412882,27413881,1000
AT1G72860,1,-,27420946,27420946,27421945,1000
AT1G72870,1,+,27420939,27419940,27420939,1000
AT1G72880,1,-,27426215,27426215,27427214,1000
AT1G72890,1,+,27429916,27428917,27429916,1000
AT1G72900,1,+,27432178,27431179,27432178,1000
AT1G72910,1,+,27435306,27434307,27435306,1000
AT1G72920,1,+,27437899,27436900,27437899,1000
AT1G72930,1,+,27439240,27438241,27439240,1000
AT1G72940,1,+,27441981,27440982,27441981,1000
AT1G72950,1,+,27444415,27443416,27444415,1000
AT1G72960,1,+,27446069,27445070,27446069,1000
AT1G72970,1,+,27452748,27451749,27452748,1000
AT1G72980,1,-,27456949,27456949,27457948,1000
AT1G72990,1,-,27462487,27462487,27463486,1000
AT1G73000,1,+,27462983,27461984,27462983,1000
AT1G73010,1,-,27466348,27466348,27467347,1000
AT1G73020,1,-,27473660,27473660,27474659,1000
AT1G73030,1,+,27473763,27472764,27473763,1000
AT1G73040,1,-,27475962,27475962,27476961,1000
AT1G73050,1,-,27478534,27478534,27479533,1000
AT1G73060,1,+,27478970,27477971,27478970,1000
AT1G73065,1,-,27482171,27482171,27483170,1000
AT1G73066,1,+,27481785,27480786,27481785,1000
AT1G73080,1,+,27484240,27483241,27484240,1000
AT1G73090,1,+,27488217,27487218,27488217,1000
AT1G73100,1,+,27491184,27490185,27491184,1000
AT1G73110,1,-,27496969,27496969,27497968,1000
AT1G73120,1,-,27498062,27498062,27499061,1000
AT1G73130,1,+,27498929,27497930,27498929,1000
AT1G73140,1,-,27503834,27503834,27504833,1000
AT1G73150,1,-,27506406,27506406,27507405,1000
AT1G73160,1,+,27506485,27505486,27506485,1000
AT1G73165,1,-,27509272,27509272,27510271,1000
AT1G73170,1,-,27514837,27514837,27515836,1000
AT1G73177,1,-,27517882,27517882,27518881,1000
AT1G73180,1,+,27517891,27516892,27517891,1000
AT1G73190,1,+,27521944,27520945,27521944,1000
AT1G73200,1,-,27526818,27526818,27527817,1000
AT1G73210,1,-,27530952,27530952,27531951,1000
AT1G73220,1,+,27538190,27537191,27538190,1000
AT1G73230,1,-,27541952,27541952,27542951,1000
AT1G73240,1,-,27544920,27544920,27545919,1000
AT1G73250,1,-,27546479,27546479,27547478,1000
AT1G73260,1,-,27548282,27548282,27549281,1000
AT1G73270,1,-,27552517,27552517,27553516,1000
AT1G73280,1,-,27555322,27555322,27556321,1000
AT1G73290,1,-,27558774,27558774,27559773,1000
AT1G73300,1,-,27562636,27562636,27563635,1000
AT1G73310,1,-,27565177,27565177,27566176,1000
AT1G73320,1,-,27567222,27567222,27568221,1000
AT1G73325,1,-,27568281,27568281,27569280,1000
AT1G73330,1,-,27569823,27569823,27570822,1000
AT1G73340,1,+,27573114,27572115,27573114,1000
AT1G73350,1,-,27577283,27577283,27578282,1000
AT1G73360,1,-,27582685,27582685,27583684,1000
AT1G73370,1,-,27588978,27588978,27589977,1000
AT1G73380,1,+,27589015,27588016,27589015,1000
AT1G73390,1,-,27595752,27595752,27596751,1000
AT1G73400,1,+,27598033,27597034,27598033,1000
AT1G73410,1,+,27601593,27600594,27601593,1000
AT1G73430,1,+,27603655,27602656,27603655,1000
AT1G73440,1,+,27611354,27610355,27611354,1000
AT1G73450,1,+,27613420,27612421,27613420,1000
AT1G73460,1,+,27619535,27618536,27619535,1000
AT1G73470,1,+,27625116,27624117,27625116,1000
AT1G73480,1,+,27628678,27627679,27628678,1000
AT1G73490,1,-,27634990,27634990,27635989,1000
AT1G73500,1,-,27640643,27640643,27641642,1000
AT1G73510,1,-,27643295,27643295,27644294,1000
AT1G73530,1,-,27645525,27645525,27646524,1000
AT1G73540,1,-,27646743,27646743,27647742,1000
AT1G73550,1,-,27648709,27648709,27649708,1000
AT1G73560,1,-,27650471,27650471,27651470,1000
AT1G73570,1,+,27650992,27649993,27650992,1000
AT1G73580,1,+,27654744,27653745,27654744,1000
AT1G73590,1,+,27659673,27658674,27659673,1000
AT1G73600,1,+,27669152,27668153,27669152,1000
AT1G73603,1,+,27674288,27673289,27674288,1000
AT1G73607,1,+,27676182,27675183,27676182,1000
AT1G73610,1,+,27678313,27677314,27678313,1000
AT1G73620,1,+,27681358,27680359,27681358,1000
AT1G73630,1,+,27684673,27683674,27684673,1000
AT1G73640,1,+,27686672,27685673,27686672,1000
AT1G73650,1,-,27690307,27690307,27691306,1000
AT1G73655,1,-,27691819,27691819,27692818,1000
AT1G73660,1,-,27697372,27697372,27698371,1000
AT1G73670,1,+,27699871,27698872,27699871,1000
AT1G73680,1,-,27707657,27707657,27708656,1000
AT1G73690,1,+,27714910,27713911,27714910,1000
AT1G73700,1,-,27719741,27719741,27720740,1000
AT1G73710,1,+,27721190,27720191,27721190,1000
AT1G73720,1,+,27724991,27723992,27724991,1000
AT1G73730,1,-,27732683,27732683,27733682,1000
AT1G73740,1,+,27734024,27733025,27734024,1000
AT1G73750,1,+,27736546,27735547,27736546,1000
AT1G73760,1,-,27742008,27742008,27743007,1000
AT1G73770,1,+,27742081,27741082,27742081,1000
AT1G73780,1,+,27743685,27742686,27743685,1000
AT1G73790,1,+,27744649,27743650,27744649,1000
AT1G73805,1,-,27749248,27749248,27750247,1000
AT1G73810,1,-,27755297,27755297,27756296,1000
AT1G73820,1,-,27757463,27757463,27758462,1000
AT1G73830,1,+,27759941,27758942,27759941,1000
AT1G73840,1,-,27766372,27766372,27767371,1000
AT1G73850,1,+,27766941,27765942,27766941,1000
AT1G73860,1,-,27776883,27776883,27777882,1000
AT1G73870,1,+,27778984,27777985,27778984,1000
AT1G73875,1,+,27780855,27779856,27780855,1000
AT1G73880,1,+,27784928,27783929,27784928,1000
AT1G73885,1,+,27786864,27785865,27786864,1000
AT1G73890,1,-,27788658,27788658,27789657,1000
AT1G73910,1,+,27789208,27788209,27789208,1000
AT1G73920,1,+,27790737,27789738,27790737,1000
AT1G73930,1,-,27798005,27798005,27799004,1000
AT1G73940,1,-,27799695,27799695,27800694,1000
AT1G73950,1,-,27804687,27804687,27805686,1000
AT1G73960,1,-,27814519,27814519,27815518,1000
AT1G73965,1,+,27815627,27814628,27815627,1000
AT1G73970,1,+,27816778,27815779,27816778,1000
AT1G73980,1,-,27824127,27824127,27825126,1000
AT1G73990,1,+,27824355,27823356,27824355,1000
AT1G74000,1,-,27831536,27831536,27832535,1000
AT1G74010,1,-,27834207,27834207,27835206,1000
AT1G74020,1,-,27837443,27837443,27838442,1000
AT1G74030,1,-,27842132,27842132,27843131,1000
AT1G74035,1,+,27839443,27838444,27839443,1000
AT1G74040,1,+,27842109,27841110,27842109,1000
AT1G74045,1,+,27846012,27845013,27846012,1000
AT1G74050,1,-,27849008,27849008,27850007,1000
AT1G74060,1,-,27851437,27851437,27852436,1000
AT1G74055,1,+,27849230,27848231,27849230,1000
AT1G74070,1,-,27853269,27853269,27854268,1000
AT1G74080,1,+,27855578,27854579,27855578,1000
AT1G74088,1,+,27861116,27860117,27861116,1000
AT1G74090,1,+,27862814,27861815,27862814,1000
AT1G74100,1,-,27865694,27865694,27866693,1000
AT1G74110,1,-,27868368,27868368,27869367,1000
AT1G74120,1,-,27873332,27873332,27874331,1000
AT1G74130,1,+,27873611,27872612,27873611,1000
AT1G74140,1,+,27876905,27875906,27876905,1000
AT1G74150,1,+,27880380,27879381,27880380,1000
AT1G74160,1,+,27885911,27884912,27885911,1000
AT1G74170,1,-,27896436,27896436,27897435,1000
AT1G74180,1,-,27902025,27902025,27903024,1000
AT1G74190,1,-,27906168,27906168,27907167,1000
AT1G74200,1,-,27909358,27909358,27910357,1000
AT1G74210,1,+,27910314,27909315,27910314,1000
AT1G74220,1,-,27914161,27914161,27915160,1000
AT1G74230,1,+,27914602,27913603,27914602,1000
AT1G74240,1,+,27917249,27916250,27917249,1000
AT1G74250,1,+,27920241,27919242,27920241,1000
AT1G74260,1,-,27927962,27927962,27928961,1000
AT1G74270,1,-,27929537,27929537,27930536,1000
AT1G74280,1,+,27929643,27928644,27929643,1000
AT1G74290,1,+,27931836,27930837,27931836,1000
AT1G74300,1,+,27935156,27934157,27935156,1000
AT1G74310,1,-,27940369,27940369,27941368,1000
AT1G74320,1,+,27940594,27939595,27940594,1000
AT1G74330,1,-,27947886,27947886,27948885,1000
AT1G74340,1,-,27951668,27951668,27952667,1000
AT1G74350,1,-,27951413,27951413,27952412,1000
AT1G74360,1,+,27954129,27953130,27954129,1000
AT1G74370,1,-,27959400,27959400,27960399,1000
AT1G74380,1,+,27959527,27958528,27959527,1000
AT1G74385,1,-,27960970,27960970,27961969,1000
AT1G74390,1,-,27963954,27963954,27964953,1000
AT1G74400,1,+,27963926,27962927,27963926,1000
AT1G74410,1,+,27965534,27964535,27965534,1000
AT1G74420,1,-,27969965,27969965,27970964,1000
AT1G74430,1,+,27975168,27974169,27975168,1000
AT1G74440,1,-,27980456,27980456,27981455,1000
AT1G74450,1,+,27982453,27981454,27982453,1000
AT1G74458,1,+,27986797,27985798,27986797,1000
AT1G74460,1,-,27989865,27989865,27990864,1000
AT1G74470,1,+,27991165,27990166,27991165,1000
AT1G74480,1,-,27994178,27994178,27995177,1000
AT1G74490,1,-,27996794,27996794,27997793,1000
AT1G74500,1,-,27998821,27998821,27999820,1000
AT1G74510,1,+,28005264,28004265,28005264,1000
AT1G74520,1,-,28009451,28009451,28010450,1000
AT1G74530,1,-,28012634,28012634,28013633,1000
AT1G74540,1,+,28013180,28012181,28013180,1000
AT1G74550,1,+,28016045,28015046,28016045,1000
AT1G74560,1,-,28020059,28020059,28021058,1000
AT1G74580,1,+,28020548,28019549,28020548,1000
AT1G74590,1,-,28024860,28024860,28025859,1000
AT1G74600,1,-,28027869,28027869,28028868,1000
AT1G74620,1,+,28028252,28027253,28028252,1000
AT1G74630,1,+,28030465,28029466,28030465,1000
AT1G74640,1,+,28032562,28031563,28032562,1000
AT1G74650,1,+,28041146,28040147,28041146,1000
AT1G74660,1,-,28048289,28048289,28049288,1000
AT1G74670,1,+,28053030,28052031,28053030,1000
AT1G74675,1,-,28055437,28055437,28056436,1000
AT1G74680,1,+,28059108,28058109,28059108,1000
AT1G74690,1,-,28064771,28064771,28065770,1000
AT1G74700,1,+,28065014,28064015,28065014,1000
AT1G74710,1,+,28070295,28069296,28070295,1000
AT1G74720,1,+,28074927,28073928,28074927,1000
AT1G74730,1,+,28078852,28077853,28078852,1000
AT1G74740,1,-,28082671,28082671,28083670,1000
AT1G74750,1,+,28085753,28084754,28085753,1000
AT1G74770,1,-,28094956,28094956,28095955,1000
AT1G74780,1,+,28095729,28094730,28095729,1000
AT1G74790,1,+,28098464,28097465,28098464,1000
AT1G74800,1,-,28105193,28105193,28106192,1000
AT1G74810,1,+,28107822,28106823,28107822,1000
AT1G74820,1,-,28112579,28112579,28113578,1000
AT1G74830,1,-,28115281,28115281,28116280,1000
AT1G74840,1,-,28117422,28117422,28118421,1000
AT1G74850,1,-,28122577,28122577,28123576,1000
AT1G74860,1,+,28123301,28122302,28123301,1000
AT1G74870,1,+,28126928,28125929,28126928,1000
AT1G74875,1,-,28129745,28129745,28130744,1000
AT1G74880,1,-,28131077,28131077,28132076,1000
AT1G74890,1,-,28133025,28133025,28134024,1000
AT1G74900,1,+,28133933,28132934,28133933,1000
AT1G74910,1,-,28138971,28138971,28139970,1000
AT1G74920,1,-,28142837,28142837,28143836,1000
AT1G74930,1,+,28143851,28142852,28143851,1000
AT1G74929,1,-,28144098,28144098,28145097,1000
AT1G74940,1,+,28145978,28144979,28145978,1000
AT1G74950,1,-,28150446,28150446,28151445,1000
AT1G74960,1,-,28156350,28156350,28157349,1000
AT1G74970,1,-,28159317,28159317,28160316,1000
AT1G74990,1,-,28160510,28160510,28161509,1000
AT1G75000,1,+,28163344,28162345,28163344,1000
AT1G75010,1,-,28170113,28170113,28171112,1000
AT1G75020,1,+,28170752,28169753,28170752,1000
AT1G75030,1,+,28174187,28173188,28174187,1000
AT1G75040,1,+,28177670,28176671,28177670,1000
AT1G75050,1,+,28180057,28179058,28180057,1000
AT1G75060,1,-,28183517,28183517,28184516,1000
AT1G75080,1,+,28185504,28184505,28185504,1000
AT1G75090,1,-,28189765,28189765,28190764,1000
AT1G75100,1,-,28194068,28194068,28195067,1000
AT1G75110,1,-,28196033,28196033,28197032,1000
AT1G75120,1,-,28198945,28198945,28199944,1000
AT1G75125,1,-,28199887,28199887,28200886,1000
AT1G75130,1,-,28201975,28201975,28202974,1000
AT1G75140,1,-,28204362,28204362,28205361,1000
AT1G75150,1,-,28208590,28208590,28209589,1000
AT1G75160,1,+,28209407,28208408,28209407,1000
AT1G75170,1,+,28213666,28212667,28213666,1000
AT1G75180,1,-,28218801,28218801,28219800,1000
AT1G75190,1,+,28219225,28218226,28219225,1000
AT1G75200,1,-,28223785,28223785,28224784,1000
AT1G75210,1,+,28223836,28222837,28223836,1000
AT1G75220,1,-,28233134,28233134,28234133,1000
AT1G75230,1,+,28234086,28233087,28234086,1000
AT1G75240,1,+,28241011,28240012,28241011,1000
AT1G75250,1,-,28245581,28245581,28246580,1000
AT1G75260,1,+,28247641,28246642,28247641,1000
AT1G75270,1,-,28251469,28251469,28252468,1000
AT1G75280,1,+,28251626,28250627,28251626,1000
AT1G75290,1,+,28253722,28252723,28253722,1000
AT1G75300,1,+,28255495,28254496,28255495,1000
AT1G75310,1,+,28260801,28259802,28260801,1000
AT1G75330,1,-,28268416,28268416,28269415,1000
AT1G75335,1,+,28268541,28267542,28268541,1000
AT1G75340,1,-,28272081,28272081,28273080,1000
AT1G75350,1,+,28272071,28271072,28272071,1000
AT1G75360,1,+,28274588,28273589,28274588,1000
AT1G75370,1,-,28280033,28280033,28281032,1000
AT1G75380,1,-,28284168,28284168,28285167,1000
AT1G75390,1,+,28291698,28290699,28291698,1000
AT1G75400,1,+,28296886,28295887,28296886,1000
AT1G75410,1,-,28302728,28302728,28303727,1000
AT1G75420,1,+,28305218,28304219,28305218,1000
AT1G75430,1,-,28309610,28309610,28310609,1000
AT1G75440,1,+,28313379,28312380,28313379,1000
AT1G75450,1,-,28318375,28318375,28319374,1000
AT1G75460,1,+,28327698,28326699,28327698,1000
AT1G75470,1,+,28330054,28329055,28330054,1000
AT1G75490,1,+,28335502,28334503,28335502,1000
AT1G75500,1,-,28340275,28340275,28341274,1000
AT1G75510,1,-,28348776,28348776,28349775,1000
AT1G75520,1,-,28353549,28353549,28354548,1000
AT1G75530,1,+,28359309,28358310,28359309,1000
AT1G75540,1,+,28365824,28364825,28365824,1000
AT1G75550,1,-,28370061,28370061,28371060,1000
AT1G75560,1,-,28373301,28373301,28374300,1000
AT1G75580,1,+,28377377,28376378,28377377,1000
AT1G75590,1,-,28383769,28383769,28384768,1000
AT1G75600,1,+,28390665,28389666,28390665,1000
AT1G75620,1,-,28396677,28396677,28397676,1000
AT1G75630,1,+,28400439,28399440,28400439,1000
AT1G75640,1,-,28407182,28407182,28408181,1000
AT1G75660,1,+,28408134,28407135,28408134,1000
AT1G75670,1,-,28416961,28416961,28417960,1000
AT1G75680,1,-,28419635,28419635,28420634,1000
AT1G75690,1,-,28423520,28423520,28424519,1000
AT1G75700,1,+,28423495,28422496,28423495,1000
AT1G75710,1,+,28428671,28427672,28428671,1000
AT1G75717,1,+,28433919,28432920,28433919,1000
AT1G75720,1,-,28435489,28435489,28436488,1000
AT1G75730,1,-,28439835,28439835,28440834,1000
AT1G75750,1,-,28442435,28442435,28443434,1000
AT1G75760,1,-,28448735,28448735,28449734,1000
AT1G75770,1,+,28449905,28448906,28449905,1000
AT1G75780,1,-,28453820,28453820,28454819,1000
AT1G75785,1,+,28451154,28450155,28451154,1000
AT1G75790,1,-,28457528,28457528,28458527,1000
AT1G75800,1,+,28458691,28457692,28458691,1000
AT1G75810,1,+,28461444,28460445,28461444,1000
AT1G75820,1,-,28466971,28466971,28467970,1000
AT1G75830,1,+,28472357,28471358,28472357,1000
AT1G75840,1,+,28475649,28474650,28475649,1000
AT1G75850,1,-,28483946,28483946,28484945,1000
AT1G75860,1,-,28486077,28486077,28487076,1000
AT1G75870,1,+,28486229,28485230,28486229,1000
AT1G75880,1,+,28490443,28489444,28490443,1000
AT1G75890,1,+,28492944,28491945,28492944,1000
AT1G75900,1,+,28498821,28497822,28498821,1000
AT1G75910,1,+,28501434,28500435,28501434,1000
AT1G75920,1,+,28504041,28503042,28504041,1000
AT1G75930,1,+,28508072,28507073,28508072,1000
AT1G75940,1,+,28511142,28510143,28511142,1000
AT1G75945,1,-,28515916,28515916,28516915,1000
AT1G75950,1,+,28516519,28515520,28516519,1000
AT1G75960,1,+,28517939,28516940,28517939,1000
AT1G75980,1,-,28524418,28524418,28525417,1000
AT1G75990,1,-,28526848,28526848,28527847,1000
AT1G76010,1,-,28531771,28531771,28532770,1000
AT1G76020,1,-,28533694,28533694,28534693,1000
AT1G76030,1,+,28533710,28532711,28533710,1000
AT1G76050,1,+,28540784,28539785,28540784,1000
AT1G76060,1,-,28543850,28543850,28544849,1000
AT1G76065,1,-,28545708,28545708,28546707,1000
AT1G76070,1,+,28546382,28545383,28546382,1000
AT1G76080,1,-,28549586,28549586,28550585,1000
AT1G76090,1,-,28551836,28551836,28552835,1000
AT1G76100,1,-,28554930,28554930,28555929,1000
AT1G76110,1,-,28557615,28557615,28558614,1000
AT1G76120,1,-,28560473,28560473,28561472,1000
AT1G76130,1,+,28560629,28559630,28560629,1000
AT1G76140,1,+,28571119,28570120,28571119,1000
AT1G76150,1,-,28577700,28577700,28578699,1000
AT1G76160,1,-,28581315,28581315,28582314,1000
AT1G76170,1,-,28586418,28586418,28587417,1000
AT1G76180,1,-,28587931,28587931,28588930,1000
AT1G76185,1,+,28590325,28589326,28590325,1000
AT1G76190,1,+,28592059,28591060,28592059,1000
AT1G76200,1,+,28593211,28592212,28593211,1000
AT1G76210,1,-,28595996,28595996,28596995,1000
AT1G76220,1,-,28598420,28598420,28599419,1000
AT1G76230,1,-,28600491,28600491,28601490,1000
AT1G76240,1,-,28603932,28603932,28604931,1000
AT1G76250,1,-,28609225,28609225,28610224,1000
AT1G76260,1,+,28610193,28609194,28610193,1000
AT1G76270,1,-,28616785,28616785,28617784,1000
AT1G76280,1,-,28622777,28622777,28623776,1000
AT1G76290,1,-,28625408,28625408,28626407,1000
AT1G76300,1,+,28625871,28624872,28625871,1000
AT1G76310,1,-,28630789,28630789,28631788,1000
AT1G76320,1,+,28631223,28630224,28631223,1000
AT1G76340,1,-,28636968,28636968,28637967,1000
AT1G76350,1,+,28639453,28638454,28639453,1000
AT1G76360,1,-,28646721,28646721,28647720,1000
AT1G76370,1,-,28650577,28650577,28651576,1000
AT1G76380,1,-,28654660,28654660,28655659,1000
AT1G76390,1,+,28655208,28654209,28655208,1000
AT1G76400,1,-,28661710,28661710,28662709,1000
AT1G76405,1,+,28661789,28660790,28661789,1000
AT1G76410,1,+,28668664,28667665,28668664,1000
AT1G76420,1,-,28674045,28674045,28675044,1000
AT1G76430,1,-,28682062,28682062,28683061,1000
AT1G76440,1,-,28683785,28683785,28684784,1000
AT1G76450,1,+,28684551,28683552,28684551,1000
AT1G76460,1,-,28689208,28689208,28690207,1000
AT1G76465,1,+,28688781,28687782,28688781,1000
AT1G76470,1,-,28691659,28691659,28692658,1000
AT1G76480,1,-,28693428,28693428,28694427,1000
AT1G76490,1,+,28695760,28694761,28695760,1000
AT1G76500,1,+,28704963,28703964,28704963,1000
AT1G76510,1,-,28712968,28712968,28713967,1000
AT1G76520,1,+,28714765,28713766,28714765,1000
AT1G76530,1,+,28718069,28717070,28718069,1000
AT1G76540,1,-,28722550,28722550,28723549,1000
AT1G76550,1,-,28727111,28727111,28728110,1000
AT1G76560,1,+,28728206,28727207,28728206,1000
AT1G76570,1,+,28728998,28727999,28728998,1000
AT1G76580,1,+,28734207,28733208,28734207,1000
AT1G76590,1,+,28740540,28739541,28740540,1000
AT1G76600,1,+,28746833,28745834,28746833,1000
AT1G76610,1,+,28750872,28749873,28750872,1000
AT1G76620,1,+,28756521,28755522,28756521,1000
AT1G76630,1,+,28759478,28758479,28759478,1000
AT1G76640,1,-,28765866,28765866,28766865,1000
AT1G76650,1,-,28768138,28768138,28769137,1000
AT1G76660,1,-,28771538,28771538,28772537,1000
AT1G76670,1,-,28775002,28775002,28776001,1000
AT1G76680,1,+,28776626,28775627,28776626,1000
AT1G76690,1,+,28778622,28777623,28778622,1000
AT1G76700,1,-,28783257,28783257,28784256,1000
AT1G76705,1,+,28786290,28785291,28786290,1000
AT1G76710,1,-,28792719,28792719,28793718,1000
AT1G76720,1,-,28800402,28800402,28801401,1000
AT1G76728,1,+,28802633,28801634,28802633,1000
AT1G76730,1,-,28804858,28804858,28805857,1000
AT1G76740,1,+,28805114,28804115,28805114,1000
AT1G76750,1,+,28811040,28810041,28811040,1000
AT1G76760,1,-,28813164,28813164,28814163,1000
AT1G76770,1,+,28813454,28812455,28813454,1000
AT1G76780,1,+,28814434,28813435,28814434,1000
AT1G76790,1,-,28823727,28823727,28824726,1000
AT1G76800,1,+,28829243,28828244,28829243,1000
AT1G76810,1,-,28836748,28836748,28837747,1000
AT1G76820,1,+,28837573,28836574,28837573,1000
AT1G76830,1,+,28844644,28843645,28844644,1000
AT1G76840,1,-,28847288,28847288,28848287,1000
AT1G76850,1,+,28847871,28846872,28847871,1000
AT1G76860,1,-,28855750,28855750,28856749,1000
AT1G76870,1,+,28856839,28855840,28856839,1000
AT1G76880,1,+,28865314,28864315,28865314,1000
AT1G76890,1,-,28875435,28875435,28876434,1000
AT1G76900,1,+,28881539,28880540,28881539,1000
AT1G76910,1,+,28887218,28886219,28887218,1000
AT1G76920,1,+,28891976,28890977,28891976,1000
AT1G76930,1,-,28897120,28897120,28898119,1000
AT1G76940,1,-,28904420,28904420,28905419,1000
AT1G76950,1,+,28906441,28905442,28906441,1000
